Date,AK
1975-01-31,34.604936476
1975-02-28,35.035869728
1975-03-31,35.40796397
1975-04-30,35.784215706
1975-05-31,36.228855548
1975-06-30,36.72066693
1975-07-31,37.284277052
1975-08-31,37.943843833
1975-09-30,38.686198943
1975-10-31,39.435592135
1975-11-30,40.138753155
1975-12-31,40.646968136
1976-01-31,40.948592172
1976-02-29,41.083964291
1976-03-31,41.111205799
1976-04-30,41.094751248
1976-05-31,41.059405492
1976-06-30,40.990911171
1976-07-31,40.975784206
1976-08-31,41.111061969
1976-09-30,41.474292688
1976-10-31,42.029086571
1976-11-30,42.717797107
1976-12-31,43.374628865
1977-01-31,43.943179505
1977-02-28,44.377537785
1977-03-31,44.64897664
1977-04-30,44.802054949
1977-05-31,44.893233397
1977-06-30,44.921286422
1977-07-31,44.999114872
1977-08-31,45.218172896
1977-09-30,45.577483338
1977-10-31,46.004657074
1977-11-30,46.502670383
1977-12-31,46.962787467
1978-01-31,47.369397102
1978-02-28,47.74697234
1978-03-31,48.146119817
1978-04-30,48.581544265
1978-05-31,49.01352681
1978-06-30,49.322144878
1978-07-31,49.506649114
1978-08-31,49.693085541
1978-09-30,50.028989695
1978-10-31,50.541197758
1978-11-30,51.25213889
1978-12-31,52.010840208
1979-01-31,52.766394966
1979-02-28,53.525350673
1979-03-31,54.343675213
1979-04-30,55.203373679
1979-05-31,55.880465391
1979-06-30,56.101777555
1979-07-31,55.976475787
1979-08-31,55.798716701
1979-09-30,55.76803512
1979-10-31,55.890890122
1979-11-30,56.154487004
1979-12-31,56.364525824
1980-01-31,56.449407154
1980-02-29,56.348256587
1980-03-31,56.039527802
1980-04-30,55.608046475
1980-05-31,55.153424484
1980-06-30,54.729059891
1980-07-31,54.521449651
1980-08-31,54.706568871
1980-09-30,55.334120824
1980-10-31,56.266574646
1980-11-30,57.400993115
1980-12-31,58.516132742
1981-01-31,59.561007107
1981-02-28,60.516365559
1981-03-31,61.387598741
1981-04-30,62.230816803
1981-05-31,63.065115205
1981-06-30,63.863164203
1981-07-31,64.789912624
1981-08-31,66.00979673
1981-09-30,67.534728178
1981-10-31,69.180546843
1981-11-30,70.821899205
1981-12-31,72.190563148
1982-01-31,73.237521846
1982-02-28,73.969453302
1982-03-31,74.445110507
1982-04-30,74.788594135
1982-05-31,75.051270376
1982-06-30,75.173895627
1982-07-31,75.30104384
1982-08-31,75.63368317
1982-09-30,76.275122745
1982-10-31,77.148946684
1982-11-30,78.22243183
1982-12-31,79.232077726
1983-01-31,80.099149453
1983-02-28,80.79681397
1983-03-31,81.357927973
