date,Austin_HPI
2024-05-31,477697.84825412
2024-04-30,474916.546847018
2024-03-31,473581.871169286
2024-02-29,474057.293826933
2024-01-31,477769.775628138
2023-12-31,481629.595129093
2023-11-30,484952.180156338
2023-10-31,488171.870235974
2023-09-30,491335.017668693
2023-08-31,494037.553127479
2023-07-31,495555.833700173
2023-06-30,495598.758416104
2023-05-31,494090.225225478
2023-04-30,490777.895412635
2023-03-31,488536.693172138
2023-02-28,488492.588957537
2023-01-31,491654.502838108
2022-12-31,496174.051979043
2022-11-30,500274.352147159
2022-10-31,503560.27318624
2022-09-30,506069.819313853
2022-08-31,510851.815099097
2022-07-31,515499.927548217
2022-06-30,519130.327858996
2022-05-31,517531.612017759
2022-04-30,512515.105421517
2022-03-31,505188.273519529
2022-02-28,497701.319069284
2022-01-31,491609.116253786
2021-12-31,486302.778481112
2021-11-30,483131.820120082
2021-10-31,481400.746741497
2021-09-30,480744.510217434
2021-08-31,478483.110458242
2021-07-31,471448.883712951
2021-06-30,461294.473444115
2021-05-31,450923.520380176
2021-04-30,443245.724083461
2021-03-31,434948.031455166
2021-02-28,426923.660696972
2021-01-31,417919.48645335
2020-12-31,410472.524877933
2020-11-30,402439.270754848
2020-10-31,394116.020427733
2020-09-30,386682.7422822
2020-08-31,380864.240866989
2020-07-31,378623.221673139
2020-06-30,377427.635383128
2020-05-31,375812.850726759
2020-04-30,372126.446871277
2020-03-31,367540.589755852
2020-02-29,364738.869387539
2020-01-31,362986.472766166
2019-12-31,362228.025150913
2019-11-30,359675.650952242
2019-10-31,356896.596846122
2019-09-30,354321.852922916
2019-08-31,353079.363278359
2019-07-31,351678.828640136
2019-06-30,349177.507247237
2019-05-31,345695.990301275
2019-04-30,341724.120981138
2019-03-31,338228.044912102
2019-02-28,334626.166458976
2019-01-31,332114.345041514
2018-12-31,329672.781760802
2018-11-30,327824.899477417
2018-10-31,325321.052957595
2018-09-30,323406.842739411
2018-08-31,320142.084344609
2018-07-31,317270.083216795
2018-06-30,314352.205252607
2018-05-31,312662.75472622
2018-04-30,310232.201762235
2018-03-31,306720.734164789
2018-02-28,302494.143946335
2018-01-31,297866.781507426
2017-12-31,293890.254896258
2017-11-30,290553.31945653
2017-10-31,287887.826921895
2017-09-30,285928.011146978
2017-08-31,282715.814399197
2017-07-31,279824.630125364
