Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-31,35.1677642,34.604936476,28.967805781,37.770760871,15.812954063,19.732791305,24.125222775,27.746994419,30.747650636,30.126543758,27.206658511,32.487772548,25.765937992,32.187753802,33.243102959,33.418666254,31.65566686,33.134992958,27.945116705,26.955122123,15.9225098,24.870519942,25.467076667,43.039506622,30.634194751,27.383052487,31.105417675,26.842139962,24.56558608,22.612113936,28.191536471,23.839583365,27.864699507,40.615577031,30.110158077,38.461931784,19.352480481,29.061182094,20.571629293,31.299702995,35.82513748,31.93806891,32.818733378,24.739254408,26.571922691,27.628050288,17.51113524,42.838254775,27.783013543,31.174525568
1975-02-28,35.52918915,35.035869728,29.450034855,37.80381428,15.890205781,19.923528054,24.681891595,27.916508569,32.025110396,29.874077316,27.188735092,32.604907861,25.688448894,32.794170821,33.773368755,33.744510416,31.76279497,33.59070646,27.864975229,26.920690003,15.829138472,25.111262854,25.71912499,42.402597893,32.072268622,27.552216442,31.057566686,27.384421033,24.631964138,22.214310216,28.633317808,23.314170807,28.355606633,40.516201728,30.185510211,38.277972622,19.924206278,29.362158662,20.932119533,31.506294154,35.617404025,32.033773288,32.942274104,25.074462406,26.831612381,27.936771402,17.643281125,43.984921694,28.162877423,31.669633315
1975-03-31,35.854669434,35.40796397,29.848097268,37.826189527,16.04815182,20.107532079,25.138555486,27.967728905,33.911578996,29.74748803,27.226005195,32.618620602,25.75782608,33.266372777,34.161074376,34.078448866,31.815571628,34.031234216,27.755241419,26.835582551,15.728764541,25.187753397,25.909498489,41.809096869,33.479233545,27.677570126,31.0165467,27.906726179,24.75177812,21.982048883,29.027770773,23.128211373,28.743708716,40.38862666,30.273529068,38.07644587,20.43857953,29.582119231,21.298219401,31.622040645,35.365400097,32.047195619,33.298537835,25.311782588,27.056628025,28.14180956,17.74855455,45.135357903,28.442933611,32.156859581
1975-04-30,36.204130614,35.784215706,30.103490784,37.854430264,16.316848827,20.293913729,25.414023855,28.055368535,36.18410712,29.763036041,27.28617885,32.655964969,25.81751368,33.619970034,34.414152424,34.440081665,31.89809036,34.277904119,27.687998755,26.718132909,15.582040202,25.145925814,26.065719668,41.39177098,34.594752053,27.747389589,30.921804442,28.368063718,24.778275594,21.940949538,29.278960202,23.135118452,28.948548564,40.327166022,30.458393882,37.868604143,20.891832955,29.698539224,21.686043419,31.649012954,35.120366536,32.153273118,34.029014083,25.465186099,27.24794565,28.225427587,17.84969056,46.337792179,28.635793857,32.602327016
1975-05-31,36.487838845,36.228855548,30.168880637,37.899526895,16.546771771,20.407527472,25.522871336,28.135906916,36.339773533,29.816790885,27.350164242,32.599072435,25.851691608,33.738725658,34.475538943,34.77318005,32.060268871,34.320450018,27.735038327,26.749859632,15.486004393,25.012781877,26.217120924,41.120602974,34.456608978,27.769800241,30.907366017,28.773535113,24.731807054,22.054274167,29.427212368,23.194720834,29.115237687,40.421598407,30.663461309,37.675065661,21.293034016,29.81699943,22.046789894,31.608953518,34.917176832,32.258502233,34.168356997,25.504588275,27.467310776,28.325017994,17.901680617,47.534735293,28.747946073,32.9687115
1975-06-30,36.594635812,36.72066693,30.002918587,38.032395264,16.616038318,20.48963784,25.50547715,28.246311566,34.526798357,29.807097631,27.428590995,32.498132598,25.884580602,33.661581996,34.474612412,35.021291897,32.356302479,34.340218429,27.896109017,26.869061492,15.429134008,24.845397602,26.376509104,40.975018736,33.270751203,27.809090558,30.921802763,29.114151879,24.566301765,22.196819598,29.557841708,23.321596791,29.167955937,40.638623974,30.888570872,37.612122696,21.661281445,30.032999785,22.314140538,31.586146292,34.79316171,32.39351301,33.653731594,25.458098021,27.71490624,28.429244515,17.977443405,48.635003126,28.816322468,33.295336947
1975-07-31,36.48248167,37.284277052,29.651365753,38.116181765,16.671670513,20.549339644,25.411680041,28.327649019,33.288859634,29.713681444,27.515094919,32.444139297,26.026434867,33.475331639,34.522878553,35.181618332,32.792762514,34.545650729,28.171572002,27.089303952,15.455695694,24.820955381,26.651841582,40.859548514,32.226956069,27.875354832,30.924594258,29.35954566,24.335795394,22.369428244,29.691938196,23.536048181,29.145711053,41.008682142,31.089762447,37.732866101,21.998376159,30.273737697,22.432212734,31.673730752,34.82821873,32.560548971,33.435508215,25.346338837,27.999257666,28.610513153,18.099933001,49.531933491,28.943211351,33.635531102
1975-08-31,36.176897659,37.943843833,29.138812433,38.135287606,16.905773861,20.541379788,25.417915852,28.436013116,32.7349336,29.486241277,27.588424886,32.45753549,26.191807284,33.250879154,34.581545593,35.347175068,33.118626675,34.922053375,28.484044455,27.323798415,15.510147342,24.984298753,27.025743495,40.687561794,31.724544565,27.992491099,30.992332826,29.578482901,24.103788916,22.577294786,29.759996858,23.693428465,29.126712009,41.530865556,31.199875972,37.940300096,22.24374334,30.244131778,22.502313205,31.862152297,34.888669039,32.759176879,33.525540374,25.237652078,28.252899519,28.787741458,18.183028735,50.207244307,29.196605868,34.073905146
1975-09-30,35.847538053,38.686198943,28.653631269,38.039934505,17.168629323,20.486406888,25.434424207,28.483071038,32.626857029,29.153370211,27.663660439,32.557692175,26.356944441,33.109338539,34.616469,35.479442389,33.308921781,35.288792382,28.810891899,27.520879591,15.575054593,25.176885393,27.337062193,40.52666421,31.530710207,28.15654177,31.167555202,29.852765523,23.996220848,22.708092143,29.739827434,23.806126253,29.164628142,42.224292793,31.305516662,38.179799629,22.441404549,29.806711323,22.501867299,32.007565911,34.939182517,33.063060213,33.673628034,25.227072419,28.493179996,28.858335551,18.208469072,50.651874273,29.594900956,34.470172077
1975-10-31,35.64882099,39.435592135,28.437458369,37.923315617,17.401051167,20.520150328,25.478765493,28.46536982,32.783321651,28.930097095,27.769157015,32.822546087,26.554086708,33.207791178,34.75617047,35.542763884,33.362039559,35.562063134,29.135087874,27.678332094,15.626023221,25.198395908,27.466650144,40.473767353,31.430345922,28.348206151,31.491625573,30.175363907,24.033883037,22.716254947,29.679905662,23.881568991,29.237162809,43.074761746,31.485628589,38.509441638,22.556989755,29.202958227,22.476312572,32.012718152,35.023460579,33.471458026,33.816652187,25.425984727,28.658833263,28.836646982,18.287337759,50.774881669,30.03101182,34.808812761
1975-11-30,35.713113949,40.138753155,28.677180642,37.940268337,17.58444192,20.774987208,25.611522046,28.491253353,33.085889724,28.882516639,27.876705643,33.263930022,26.854802763,33.550851217,34.974815057,35.61694334,33.332898806,35.830492703,29.315810742,27.924362397,15.692412027,25.1749789,27.497146264,40.641007256,31.442088664,28.609737454,31.889373681,30.530351863,24.238313851,22.651239606,29.639519628,23.940619585,29.400286318,43.918926274,31.687126544,38.95125777,22.7120674,29.288138964,22.441204657,31.89308421,35.156608394,34.007680393,34.079035181,25.903828844,28.742663991,28.795908323,18.485913017,50.552874212,30.339813225,35.060457179
1975-12-31,36.065717634,40.646968136,29.148419294,38.141470351,17.779849169,21.112841464,25.839120667,28.582061072,33.30092288,28.936538542,27.890413672,33.841131263,27.255951372,34.009614137,35.305919333,35.75719869,33.30125194,36.11170325,29.337306906,28.244217484,15.785537566,25.30958503,27.47587689,41.024159696,31.607537794,28.992148043,32.309697734,30.90167477,24.515126222,22.626788127,29.664834315,24.004098771,29.666839668,44.653501139,31.84243611,39.371742095,22.898108032,30.2402079,22.433912108,31.787085442,35.333685666,34.536097133,34.455650032,26.460675557,28.792560204,28.760125885,18.753669974,50.137324236,30.552312435,35.229004023
